Дата,T
2018-03-29,0.7
2018-03-29,1
2018-03-29,2
2018-03-29,1
2018-03-29,-1.1
2018-03-29,-2.1
2018-03-29,-0.8
2018-03-30,-10
2018-03-30,-7.8
2018-03-30,-7.8
2018-03-30,-6.2
2018-03-30,-5.3
2018-03-30,-4.1
2018-03-30,-2.5
2018-03-30,-1.2
2018-03-31,-9.7
2018-03-31,-6.5
2018-03-31,-3.5
2018-03-31,-3.5
2018-03-31,-5
2018-03-31,-9.8
2018-03-31,-13.9
2018-03-31,-12.1
2018-04-01,-8.6
2018-04-01,-6
2018-04-01,-2.8
2018-04-01,-1.3
2018-04-01,-4.8
2018-04-01,-12
2018-04-01,-13.5
2018-04-01,-12.5
2018-04-02,-3.3
2018-04-02,-4.1
2018-04-02,-3.7
2018-04-02,-1.8
2018-04-02,-2.4
2018-04-02,-6.7
2018-04-02,-10.1
2018-04-02,-10
2018-04-03,-3
2018-04-03,-1.9
2018-04-03,-0.2
2018-04-03,-0.5
2018-04-03,-0.6
2018-04-03,-2.7
2018-04-03,-4.3
2018-04-03,-4.2
2018-04-04,0
2018-04-04,0.2
2018-04-04,3
2018-04-04,2
2018-04-04,0.9
2018-04-04,-2.6
2018-04-04,-5
2018-04-04,-4.2
2018-04-05,5
2018-04-05,4
2018-04-05,7
2018-04-05,6
2018-04-05,3
2018-04-05,-0.9
2018-04-05,-1.9
2018-04-05,-1.2
2018-04-06,2
2018-04-06,4
2018-04-06,5
2018-04-06,4
2018-04-06,1
2018-04-06,0.7
2018-04-06,2
2018-04-06,4
2018-04-07,0.2
2018-04-07,0.6
2018-04-07,2
2018-04-07,2
2018-04-07,1
2018-04-07,1
2018-04-07,1
2018-04-07,1
2018-04-08,4
2018-04-08,6
2018-04-08,6
2018-04-08,4
2018-04-08,3
2018-04-08,0.7
2018-04-08,-0.4
2018-04-08,-0.1
2018-04-09,0.9
2018-04-09,0.7
2018-04-09,1
2018-04-09,2
2018-04-09,3
2018-04-09,0.7
2018-04-09,2
2018-04-09,3
2018-04-10,0.3
2018-04-10,1
2018-04-10,2
2018-04-10,3
2018-04-10,3
2018-04-10,1
2018-04-10,0.6
2018-04-10,0.9
2018-04-11,6
2018-04-11,7
2018-04-11,10
2018-04-11,8
2018-04-11,6
2018-04-11,2
2018-04-11,-0.8
2018-04-11,-1.7
2018-04-12,10
2018-04-12,11
2018-04-12,14
2018-04-12,14
2018-04-12,11
2018-04-12,5
2018-04-12,3
2018-04-12,4
2018-04-13,-1.7
2018-04-13,0.5
2018-04-13,3
2018-04-13,8
2018-04-13,13
2018-04-13,7
2018-04-13,6
2018-04-13,8
2018-04-14,1
2018-04-14,4
2018-04-14,7
2018-04-14,7
2018-04-14,5
2018-04-14,1
2018-04-14,-4.3
2018-04-14,-3.6
2018-04-15,2
2018-04-15,5
2018-04-15,9
2018-04-15,8
2018-04-15,7
2018-04-15,4
2018-04-15,-3.4
2018-04-15,-2.4
2018-04-16,6
2018-04-16,7
2018-04-16,9
2018-04-16,10
2018-04-16,10
2018-04-16,5
2018-04-16,0.8
2018-04-16,1
2018-04-17,1
2018-04-17,2
2018-04-17,5
2018-04-17,7
2018-04-17,6
2018-04-17,2
2018-04-17,1
2018-04-17,4
2018-04-18,0.4
2018-04-18,6
2018-04-18,9
2018-04-18,9
2018-04-18,7
2018-04-18,1
2018-04-18,-1.6
2018-04-18,-2.1
2018-04-19,1
2018-04-19,1
2018-04-19,4
2018-04-19,2
2018-04-19,1
2018-04-19,-1.3
2018-04-19,-2
2018-04-19,-1.6
2018-04-20,10
2018-04-20,12
2018-04-20,14
2018-04-20,13
2018-04-20,10
2018-04-20,4
2018-04-20,1
2018-04-20,1
2018-04-21,14
2018-04-21,15
2018-04-21,17
2018-04-21,15
2018-04-21,12
2018-04-21,9
2018-04-21,7
2018-04-21,8
2018-04-22,10
2018-04-22,11
2018-04-22,11
2018-04-22,14
2018-04-22,13
2018-04-22,10
2018-04-22,11
2018-04-22,13
2018-04-23,12
2018-04-23,13
2018-04-23,16
2018-04-23,16
2018-04-23,13
2018-04-23,9
2018-04-23,8
2018-04-23,9
2018-04-24,8
2018-04-24,8
2018-04-24,9
2018-04-24,10
2018-04-24,13
2018-04-24,11
2018-04-24,9
2018-04-24,11
2018-04-25,2
2018-04-25,4
2018-04-25,6
2018-04-25,6
2018-04-25,6
2018-04-25,4
2018-04-25,5
2018-04-25,7
2018-04-26,6
2018-04-26,7
2018-04-26,9
2018-04-26,9
2018-04-26,6
2018-04-26,5
2018-04-26,2
2018-04-26,2
2018-04-27,9
2018-04-27,10
2018-04-27,8
2018-04-27,11
2018-04-27,7
2018-04-27,6
2018-04-27,5
2018-04-27,4
2018-04-28,8
2018-04-28,10
2018-04-28,11
2018-04-28,9
2018-04-28,7
2018-04-28,6
2018-04-28,6
2018-04-28,8
2018-04-29,15
2018-04-29,19
2018-04-29,22
2018-04-29,21
2018-04-29,16
2018-04-29,10
2018-04-29,6
2018-04-29,7
2018-04-30,8
2018-04-30,13
2018-04-30,16
2018-04-30,16
2018-04-30,10
2018-04-30,8
2018-04-30,12
2018-04-30,15
2018-05-01,6
2018-05-01,10
2018-05-01,11
2018-05-01,10
2018-05-01,8
2018-05-01,7
2018-05-01,2
2018-05-01,5
2018-05-02,4
2018-05-02,7
2018-05-02,6
2018-05-02,7
2018-05-02,5
2018-05-02,3
2018-05-02,6
2018-05-02,5
2018-05-03,8
2018-05-03,8
2018-05-03,8
2018-05-03,10
2018-05-03,11
2018-05-03,8
2018-05-03,4
2018-05-03,3
2018-05-04,12
2018-05-04,16
2018-05-04,24
2018-05-04,23
2018-05-04,20
2018-05-04,11
2018-05-04,8
2018-05-04,8
2018-05-05,1
2018-05-05,2
2018-05-05,4
2018-05-05,5
